ship_id,ship_type,route_id,month,distance,fuel_type,weather_conditions,engine_efficiency,emission_efficiency
NG001,1,Warri-Bonny,January,0.23445566075198024,1,Stormy,0.8862635162194632,0.6223836234189841
NG001,1,Port Harcourt-Lagos,February,0.22663907873011893,1,Moderate,0.9199038846615939,0.7289415622811175
NG001,1,Port Harcourt-Lagos,March,0.09868957301398207,1,Calm,0.7048458149779733,0.732073969218054
NG001,1,Port Harcourt-Lagos,April,0.10784375195937052,0,Stormy,0.6972366840208251,0.4367058372680246
NG001,1,Lagos-Apapa,May,0.23876105084958302,1,Calm,0.6247496996395672,0.4447206232136782
NG001,1,Port Harcourt-Lagos,June,0.13762618345977806,0,Stormy,0.11253504205046028,0.7668838080888456
NG001,1,Warri-Bonny,July,0.13708278470959517,1,Moderate,0.9463356027232677,0.7134191393797682
NG001,1,Warri-Bonny,August,0.051685581123163425,0,Moderate,0.8446135362434917,0.09952301616935255
NG001,1,Escravos-Lagos,September,0.20139193679854533,0,Calm,0.13616339607529016,0.1470868543491255
NG001,1,Lagos-Apapa,October,0.16646811712333062,1,Moderate,0.9463356027232677,0.055106965069233786
NG001,1,Port Harcourt-Lagos,November,0.27132317595669525,1,Stormy,0.26111333600320386,0.9440626497107143
NG001,1,Escravos-Lagos,December,0.06924154074445629,1,Calm,0.5839006808169804,0.5806703400646809
NG002,0,Warri-Bonny,January,0.15037515413714547,1,Moderate,0.6211453744493389,0.18886996963348146
NG002,0,Escravos-Lagos,February,0.2546241143645369,1,Calm,0.5410492591109328,0.47836851637342015
NG002,0,Escravos-Lagos,March,0.06598114824335904,0,Calm,0.17260712855426474,0.3920413423460003
NG002,0,Lagos-Apapa,April,0.3707233473363011,0,Moderate,0.7749299158990786,0.9549905976999455
NG002,0,Port Harcourt-Lagos,May,0.10903504921938678,0,Stormy,0.3203844613536244,0.795525958919785
NG002,0,Port Harcourt-Lagos,June,0.3408155161243129,0,Calm,0.43331998398077687,0.09759838649319974
NG002,0,Warri-Bonny,July,0.29333082533910165,1,Stormy,0.3119743692430914,0.7106848644218582
NG002,0,Port Harcourt-Lagos,August,0.21106861454218653,0,Calm,0.2430917100520622,0.35502639866056107
NG002,0,Lagos-Apapa,September,0.3626350659393483,0,Calm,0.7168602322787341,0.5179915355111389
NG002,0,Escravos-Lagos,October,0.2593057035968817,0,Moderate,0.5546655987184619,0.055245495583235105
NG002,0,Lagos-Apapa,November,0.2811461533638472,0,Stormy,0.8834601521826189,0.41874232584812265
NG002,0,Port Harcourt-Lagos,December,0.3213367609254498,0,Calm,0.2555066079295152,0.6182584783037246
NG003,1,Escravos-Lagos,January,0.19413965347879697,1,Stormy,0.052863436123347984,0.2774877267231295
NG003,1,Lagos-Apapa,February,0.05237527953685706,1,Moderate,0.06607929515418487,0.7628335594189162
NG003,1,Port Harcourt-Lagos,March,0.030302840303467294,0,Calm,0.4613536243492189,0.13638325113186056
NG003,1,Port Harcourt-Lagos,April,0.046314293477125006,0,Moderate,0.9463356027232677,0.5476418145879238
NG003,1,Warri-Bonny,May,0.24185424373523942,0,Moderate,0.2106527833400076,0.7772758299419653
NG003,1,Lagos-Apapa,June,0.10784375195937052,0,Stormy,0.696035242290749,0.9549905976999455
NG003,1,Escravos-Lagos,July,0.27044537797563056,1,Calm,0.3900680816980375,0.9417931269040585
NG003,1,Warri-Bonny,August,0.15685413923547975,0,Stormy,0.630756908289948,0.8480088228470768
NG003,1,Warri-Bonny,September,0.2273705770476728,0,Moderate,0.9463356027232677,0.3309472703251837
NG003,1,Escravos-Lagos,October,0.030302840303467294,0,Stormy,0.5302362835402481,0.08464715306085147
NG003,1,Port Harcourt-Lagos,November,0.188851965640479,1,Stormy,0.07088506207448919,0.2625879853181914
NG003,1,Escravos-Lagos,December,0.0813635128639204,0,Moderate,0.2094513416099315,0.3721192492462402
NG004,2,Escravos-Lagos,January,0.13965347879699877,0,Calm,0.052863436123347984,0.29781355165533174
NG004,2,Lagos-Apapa,February,0.08123811315233975,0,Stormy,0.20264317180616676,0.3394145537304203
NG004,2,Port Harcourt-Lagos,March,0.093192885656363,0,Calm,0.8374048858630356,0.1665611208873976
NG004,2,Lagos-Apapa,April,0.041319204965828575,0,Stormy,0.15458550260312354,0.12855685025743835
NG004,2,Escravos-Lagos,May,0.35939557339018113,0,Calm,0.09171005206247473,0.055106965069233786
NG004,2,Warri-Bonny,June,0.1917779589106945,0,Stormy,0.20224269122947547,0.7892264902270627
NG004,2,Lagos-Apapa,July,0.30371810144836664,0,Calm,0.3884661593912693,0.7928698993887275
NG004,2,Port Harcourt-Lagos,August,0.2976153154847743,0,Calm,0.052863436123347984,0.7193420201029239
NG004,2,Port Harcourt-Lagos,September,0.34198591343239904,0,Calm,0.3528233880656786,0.24596302935203695
NG004,2,Lagos-Apapa,October,0.12717620749472278,0,Moderate,0.7833400080096111,0.3473998200808781
NG004,2,Warri-Bonny,November,0.31425167722114233,0,Calm,0.7605126151381656,0.629991513942012
NG004,2,Escravos-Lagos,December,0.33636382636319934,0,Moderate,0.5967160592711251,0.06096748664352347
NG005,3,Escravos-Lagos,January,0.6613789788283485,0,Calm,0.10332398878654381,0.40896200752864775
NG005,3,Escravos-Lagos,February,0.8238228102075364,1,Stormy,0.9463356027232677,0.08845784219239228
NG005,3,Warri-Bonny,March,0.2913662298576713,1,Calm,0.1734080897076491,0.8776168897116827
NG005,3,Port Harcourt-Lagos,April,0.7171609505298138,0,Calm,0.23668402082499007,0.9549905976999455
NG005,3,Warri-Bonny,May,0.11898342633811942,1,Moderate,0.052863436123347984,0.2739858877990473
NG005,3,Escravos-Lagos,June,0.8238228102075364,0,Moderate,0.7505006007208648,0.5742616893558568
NG005,3,Warri-Bonny,July,0.8065291449829665,1,Moderate,0.7977573087705245,0.7695482676113565
NG005,3,Port Harcourt-Lagos,August,0.12002842393462496,1,Moderate,0.05726872246696013,0.41344323327314214
NG005,3,Port Harcourt-Lagos,September,0.23993144815766923,1,Calm,0.708450140168202,0.33329061757554257
NG005,3,Warri-Bonny,October,0.3742136393086295,0,Calm,0.8846615939126949,0.22474193285397082
NG005,3,Escravos-Lagos,November,0.8238228102075364,0,Calm,0.36643972767320765,0.8955687069708613
NG005,3,Lagos-Apapa,December,0.31813906828014293,0,Calm,0.26111333600320386,0.8383156294803884
NG006,2,Lagos-Apapa,January,0.2671431855706731,0,Stormy,0.6900280336403681,0.4648608101606557
NG006,2,Escravos-Lagos,February,0.05107948251719021,0,Stormy,0.9463356027232677,0.7045478805204635
NG006,2,Lagos-Apapa,March,0.19420235333458732,0,Moderate,0.25750901081297517,0.5752903692609026
NG006,2,Lagos-Apapa,April,0.14021777749911174,0,Stormy,0.8830596716059271,0.8200292418028736
NG006,2,Escravos-Lagos,May,0.3713921457980646,0,Stormy,0.14657589106928315,0.24584154846111073
